"","Year","mean_total_area","mean_optimal_area","sum_optimal_area","proportion_optimal"
"1",1982,119128.519738265,50756.2881952169,3096133.57990823,0.426063282803586
"2",1983,119128.519738265,42614.5399403096,2599486.93635889,0.357719041871227
"3",1984,119128.519738265,39288.1402404014,2396576.55466449,0.329796259759801
"4",1985,119128.519738265,42951.5645736012,2620045.43898967,0.360548126241888
"5",1986,119128.519738265,39842.7249176426,2430406.2199762,0.334451607433554
"6",1987,119128.519738265,39780.1002793507,2426586.11704039,0.333925917712659
"7",1988,119128.519738265,48046.3434334565,2930826.94944084,0.4033152056201
"8",1989,119128.519738265,36544.7550764025,2229230.05966055,0.30676747395749
"9",1990,119128.519738265,42510.7052649289,2593153.02116067,0.35684742292046
"10",1991,119128.519738265,40057.2678582304,2443493.33935205,0.336252544279401
"11",1992,119128.519738265,36711.1108038032,2239377.75903199,0.308163913095374
"12",1993,119128.519738265,44541.9839001993,2717061.01791216,0.373898576076171
"13",1994,119128.519738265,35803.2817531759,2184000.18694373,0.300543327759286
"14",1995,119128.519738265,36941.1986356673,2253413.1167757,0.310095338352479
"15",1996,119128.519738265,37388.255682399,2280683.59662634,0.313848067318759
"16",1997,119128.519738265,43306.2302758202,2641680.04682503,0.363525294958483
"17",1998,119128.519738265,42143.3525129513,2570744.50329003,0.353763755358866
"18",1999,119128.519738265,32436.5322986289,1978628.47021636,0.272281837883109
"19",2000,119128.519738265,49738.9513606293,3034076.03299839,0.417523456766775
"20",2001,119128.519738265,40718.9122868351,2483853.64949694,0.341806583144808
"21",2002,119128.519738265,36599.9539891829,2232597.19334016,0.307230829943963
"22",2003,119128.519738265,41857.5954136024,2553313.32022975,0.351365025818897
"23",2004,119128.519738265,34861.2977368991,2126539.16195084,0.292636035547929
"24",2005,119128.519738265,36859.5540093765,2248432.79457197,0.309409989231462
"25",2006,119128.519738265,40268.6980907609,2456390.58353642,0.338027352133935
"26",2007,119128.519738265,35346.7470791021,2156151.57182523,0.296711040788233
"27",2008,119128.519738265,34930.2761736539,2130746.84659289,0.293215060930822
"28",2009,119128.519738265,45812.0267005941,2794533.62873624,0.384559690670604
"29",2010,119128.519738265,36920.4090019635,2252144.94911977,0.309920824023337
"30",2011,119128.519738265,30116.5417247821,1837109.04521171,0.252807151393727
"31",2012,119128.519738265,34065.6840555656,2078006.7273895,0.28595741918401
"32",2013,119128.519738265,44256.2267883043,2699629.83408656,0.371499846430887
"33",2014,119128.519738265,36673.3765295847,2237075.96830467,0.307847160446206
"34",2015,119128.519738265,37765.401158328,2303689.47065801,0.317013937899184
"35",2016,119128.519738265,38545.6622009391,2351285.39425729,0.323563679676597
"36",2017,119128.519738265,40743.8147392088,2485372.69909173,0.342015621689301
"37",2018,119128.519738265,39176.8538239738,2389788.0832624,0.32886208869252
"38",2019,119128.519738265,32905.4021067476,2007229.5285116,0.27621766961466
"39",2020,119128.519738265,40948.6895625298,2497870.06331432,0.343735401501651
"40",2021,119128.519738265,36829.7716570477,2246616.07107991,0.309159987364619
